train_no,station_code,actual_arrival_time,actal_arrival_date,actual_departure_time,actual_departure_date,distance,week_day,arrival_delay,departure_delay
12987,SDAH,1381.0,2025-03-22,1381.0,2025-03-22,0.11192092101897924,5.0,6.0,6.0
12987,BWN,24.0,2025-03-23,28.0,2025-03-23,101.3476782322043,6.0,16.0,18.0
12987,DGR,64.0,2025-03-23,65.0,2025-03-23,165.1029412741965,6.0,5.0,4.0
12987,RNG,88.0,2025-03-23,90.0,2025-03-23,189.20713429890745,6.0,9.0,9.0
12987,ASN,103.0,2025-03-23,109.0,2025-03-23,207.42891126004307,6.0,6.0,9.0
12987,DHN,179.0,2025-03-23,195.0,2025-03-23,265.5718893418612,6.0,-8.0,3.0
12987,PNME,226.0,2025-03-23,232.0,2025-03-23,313.6800419602965,6.0,-4.0,0.0
12987,HZD,252.0,2025-03-23,257.0,2025-03-23,340.3584362877022,6.0,1.0,4.0
12987,KQR,283.0,2025-03-23,288.0,2025-03-23,389.56504595137767,6.0,3.0,6.0
12987,GAYA,356.0,2025-03-23,378.0,2025-03-23,464.9073201741412,6.0,-14.0,3.0
12987,DOS,446.0,2025-03-23,451.0,2025-03-23,550.3888975190624,6.0,0.0,3.0
12987,SSM,466.0,2025-03-23,470.0,2025-03-23,568.4008126460686,6.0,2.0,4.0
12987,BBU,496.0,2025-03-23,505.0,2025-03-23,615.4514379590961,6.0,-7.0,0.0
12987,DDU,548.0,2025-03-23,580.0,2025-03-23,670.0631623354669,6.0,-22.0,0.0
12987,PRYJ,727.0,2025-03-23,738.0,2025-03-23,822.6113047720017,6.0,17.0,23.0
12987,CNB,892.0,2025-03-23,897.0,2025-03-23,1018.1329375864598,6.0,27.0,27.0
12987,TDL,1076.0,2025-03-23,1082.0,2025-03-23,1248.4443200169244,6.0,6.0,7.0
12987,AF,1125.0,2025-03-23,1135.0,2025-03-23,1271.405561077216,6.0,10.0,10.0
12987,AH,1175.0,2025-03-23,1181.0,2025-03-23,1297.3422286314733,6.0,7.0,11.0
12987,BTE,1223.0,2025-03-23,1229.0,2025-03-23,1324.8408576538475,6.0,33.0,34.0
12987,JP,1379.0,2025-03-23,1407.0,2025-03-23,1511.6484596487699,6.0,-16.0,2.0
12987,KSG,37.0,2025-03-24,45.0,2025-03-24,1621.285960472966,0.0,-6.0,0.0
12987,SDAH,,,,,,,,
12987,BWN,28.0,2025-03-22,32.0,2025-03-22,101.11367946451263,5.0,20.0,22.0
12987,DGR,66.0,2025-03-22,70.0,2025-03-22,165.3138795495047,5.0,7.0,9.0
